District,Code,Representative,,Pronunciation,,Born,Religion,First,2014 US House,,Cook PVI,,2012 President,,,,2008 President,,,,2014 Two-Party,,2012 Two-Party,,2010 Census Adult Pop. Demographics,,,,,,Special Elections,,,2014 House Vote,,,,2012 House Vote,,Special Elections,,,2012 Presidential Election,,,2008 Presidential Election,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,,,,,2010 Census Adult Pop. Demographics,,,,,,2012 President,,,,Downballot Avg,,,Partisan Voting Index,,,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,,2012 President,,Downballot Average,
,,First Name,Last Name,Phonetic,IPA,,,Elected,Dem,Rep,,,Obama,Romney,12PVI,,Obama,McCain,08PVI,,Dem,Rep,Dem,Rep,White,Black,Hisp.,Asian,Native,Other,Dem,Rep,,Total,Dem,Rep,Other,Dem,Rep,Dem,Rep,raw CPVI,Obama,Romney,raw12PVI,Obama,McCain,raw08PVI,Total,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total,White (NH),Black (NH),Hispanic (any race),Asian and Pacific Islander (NH),Native American (NH),Other (NH),,,State,White,Black,Hisp.,Asian,Native,Other,Obama,Romney,12PVI,,Dem,Rep,,2012 raw,,Two-Party Vote,,District,Total,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total,White (NH),Black (NH),Hispanic (any race),Asian and Pacific Islander (NH),Native American (NH),Other (NH),Obama,Romney,Dem,Rep
Arizona 1st,AZ-01,Ann,Kirkpatrick,(ANN kirk-PAT-trick,/æn kəɹk.'pæ.tʃɹɪk/,1950,Roman Catholic,"2012, 2008-2010",52.6%,47.4%,R+,4,48.7%,51.3%,R+,3,48.4%,51.6%,R+,5,52.6%,47.4%,51.9%,48.1%,56.2%,2.1%,18.1%,1.8%,20.5%,1.3%,,,9,"185,114","97,391","87,723",0,"122,774","113,594",,,-4.3,"124,550","131,115",-3.2,"123,079","131,208",-5.3,710224,361485,14687,147846,11190,162087,12929,522309,293758,11113,94295,9180,107182,6781,,,Florida,61.2%,13.7%,21.1%,2.4%,0.3%,1.3%,50.4%,49.6%,R+,2,50.0%,50.0%,,-1.52,,,,9,18801310,10884549,2851095,4223134,454937,47264,339466,14798498,9058298,2033898,3118620,356853,37077,193752,4237756,4163447,0.500211,0.499789
Arizona 2nd,AZ-02,Martha,McSally,(MAR-thuh mik-SAL-ee),/'mɑɹ.θə mɪk.'sæ.li/,1966,Christian,2014,49.9%,50.0%,R+,3,49.2%,50.8%,R+,3,49.5%,50.5%,R+,4,50.0%,50.0%,50.4%,49.6%,69.2%,3.5%,21.7%,3.0%,0.9%,1.7%,,,10,"219,351","109,543","109,704",104,"147,338","144,884",,,-3.5,"144,966","149,651",-2.8,"150,877","153,747",-4.2,710224,457249,25861,183537,20664,6472,16441,558252,386563,19389,121379,16686,4899,9336,,,Georgia,59.0%,28.8%,7.5%,3.3%,0.2%,1.2%,46.0%,54.0%,R+,6,44.1%,55.9%,,-5.92,,,,10,9687653,5413920,2910800,853689,316844,21279,171121,7196101,4242514,2072946,539002,237863,16324,87452,1773827,2078688,0.440959,0.559041
Arizona 3rd,AZ-03,Raúl,Grijalva,(rah-OOL gree-HAL-vuh) [Rs are trilled],/rɑ.'ul gri.'hæl.və/,1948,Roman Catholic,2002,55.7%,44.2%,D+,8,62.4%,37.6%,D+,10,58.8%,41.2%,D+,5,55.8%,44.2%,61.1%,38.9%,34.6%,3.9%,55.2%,2.1%,3.1%,1.2%,,,11,"104,428","58,192","46,185",51,"98,468","62,663",,,7.8,"108,902","65,482",10.5,"102,818","71,980",5.1,710224,206608,27375,430398,12954,22441,10448,497743,172005,19441,274610,10419,15302,5966,,,Hawaii,25.5%,1.5%,7.2%,49.7%,0.2%,15.9%,71.7%,28.3%,D+,20,65.4%,34.6%,,19.74,,,,11,1360301,309343,19904,120842,641516,2823,265873,1056483,269530,15662,75574,525267,2323,168127,306658,121015,0.653568,0.346432
Arizona 4th,AZ-04,Paul,Gosar,(PAWL GOH-sar),/pɔl 'goʊ.sɑɹ/,1958,Roman Catholic,2010,25.8%,70.0%,R+,20,31.6%,68.4%,R+,20,34.9%,65.1%,R+,19,26.9%,73.1%,29.8%,70.2%,79.7%,1.5%,14.5%,1.2%,1.8%,1.3%,,,12,"175,179","45,179","122,560","7,440","69,154","162,907",,,-19.6,"80,035","173,394",-20.4,"86,346","161,163",-18.8,710224,538609,11065,127216,8356,12667,12311,556383,443629,8123,80797,6662,10146,7026,,,Idaho,86.7%,0.5%,9.0%,1.4%,1.1%,1.3%,33.6%,66.4%,R+,18,30.7%,69.3%,,-18.39,,,,12,1567582,1316243,8875,175901,20682,17556,28325,1138510,986529,5658,102786,15729,12584,15224,212787,420911,0.307431,0.692569
Arizona 5th,AZ-05,Matt,Salmon,(MAT SAM-uhn),/mæt 'sæ.mən/,1958,Mormon,"2012, 1994-2000",30.4%,69.6%,R+,17,35.1%,64.9%,R+,17,36.7%,63.3%,R+,17,30.4%,69.6%,32.8%,67.2%,76.8%,2.8%,14.0%,4.4%,0.8%,1.3%,,,13,"179,463","54,596","124,867",0,"89,589","183,470",,,-16.9,"101,511","187,304",-16.8,"104,014","179,566",-17.0,710224,518678,20369,118907,31210,6041,15019,512943,394037,14141,71636,22337,4087,6705,,,Illinois,67.1%,13.6%,13.4%,4.7%,0.1%,1.0%,58.6%,41.4%,D+,7,62.7%,37.3%,,6.61,,,,13,12830632,8167753,1832924,2027578,583563,18849,199965,9701453,6510535,1317211,1304397,453810,14446,101054,3019512,2135216,0.627217,0.372783
Arizona 6th,AZ-06,David,Schweikert,(DAY-vid SHWAHY-kert),/'deɪ.vɪd 'ʃwaɪ.kəɹt/,1962,Roman Catholic,2010,35.1%,64.9%,R+,12,39.5%,60.5%,R+,12,41.6%,58.4%,R+,12,35.1%,64.9%,35.2%,64.8%,79.2%,2.3%,12.3%,3.6%,1.4%,1.3%,,,14,"199,776","70,198","129,578",0,"97,666","179,706",,,-12.3,"121,661","186,537",-12.5,"130,426","182,747",-12.0,710224,534954,16932,107938,25771,11141,13488,554574,439087,12503,68057,19933,7677,7317,,,Indiana,84.0%,8.3%,4.8%,1.6%,0.2%,1.0%,44.8%,55.2%,R+,7,44.3%,55.7%,,-7.18,,,,14,6483802,5286453,582140,389707,103297,14165,108040,4875504,4097332,407005,235369,77906,10948,46944,1154275,1422872,0.442683,0.557317
Arizona 7th,AZ-07,Ruben,Gallego,(ROO-bin GUY-ay-goh),/'ɹu.bɪn 'gaɪ.eɪ.go/,1979,Roman Catholic,2014,74.9%,0%,D+,16,73.0%,27.0%,D+,21,65.5%,34.5%,D+,12,100%,0%,100%,0%,26.7%,9.0%,58.2%,2.8%,2.1%,1.3%,,,15,"72,454","54,235",0,"18,219","104,489",0,,,16.4,"101,028","37,353",21.0,"85,991","45,289",11.8,710224,148948,61376,457064,17438,13930,11468,474491,126628,42663,275963,13180,9742,6315,,,Iowa,90.9%,2.5%,3.8%,1.8%,0.3%,0.8%,53.0%,47.0%,D+,1,53.5%,46.5%,,0.99,,,,15,3046355,2701123,86906,151544,54394,8581,43807,2318362,2107975,57064,88337,40750,6038,18198,822544,730617,0.534559,0.465441
Arizona 8th,AZ-08,Trent,Franks,(CHRENT FRAYNKS),/tʃɹɛnt fɹeɪŋks/,1957,Southern Baptist,2002,0%,75.8%,R+,15,37.4%,62.6%,R+,15,38.8%,61.2%,R+,15,0%,100%,35.6%,64.4%,76.1%,3.6%,15.1%,3.2%,0.7%,1.3%,,,16,"169,776",0,"128,710","41,066","95,635","172,809",,,-14.7,"107,335","179,555",-14.6,"110,610","174,516",-14.9,710225,509305,27059,131226,23104,5003,14528,536590,408385,19155,81076,17325,3619,7030,,,Kansas,81.5%,5.5%,8.4%,2.4%,0.8%,1.5%,38.9%,61.1%,R+,13,36.9%,63.1%,,-13.02,,,,16,2853118,2230494,162697,300042,68945,23068,67815,2126147,1732149,116149,177942,51296,16996,31615,439908,689809,0.368907,0.631093
Arizona 9th,AZ-09,Kyrsten,Sinema,(KEER-sten SIN-eh-muh),/'kɪəɹ.stɛn 'sɪ.nɛ.mə/,1976,None,2012,54.7%,41.9%,R+,1,52.3%,47.7%,D+,0,52.0%,48.0%,R+,2,56.6%,43.4%,52.2%,47.8%,64.4%,4.7%,22.4%,4.5%,2.3%,1.7%,,,17,"162,062","88,609","67,841","5,612","121,881","111,630",,,-0.7,"135,244","123,263",0.4,"140,546","129,894",-1.7,710224,419811,34377,191017,30781,17644,16594,549718,353803,25721,123390,24795,12553,9456,,,Kentucky,88.0%,7.3%,2.5%,1.1%,0.2%,0.1%,38.5%,61.5%,R+,14,48.8%,51.2%,,-13.51,,,,17,4339367,3745650,333075,132836,50412,8642,4634,3315991,2917514,241115,82887,36859,6972,1761,679370,1087190,0.487938,0.512062
Arkansas 1st,AR-01,Rick,Crawford,(RICK KRAW-ferd),/ɹɪk 'kɹɔ.fəɹd/,1966,Southern Baptist,2010,32.4%,63.3%,R+,14,37.3%,62.7%,R+,15,40.3%,59.7%,R+,13,33.9%,66.1%,41.0%,59.0%,79.5%,16.4%,2.3%,0.5%,0.4%,0.9%,,,18,"196,256","63,555","124,139","8,562","96,601","138,800",,,-14.0,"92,086","154,549",-14.6,"102,670","151,918",-13.4,728765,561127,131685,20302,3816,2841,8994,553023,439894,90634,12457,2954,2231,4853,,,Louisiana,62.9%,29.9%,4.0%,1.6%,0.6%,1.0%,41.3%,58.7%,R+,11,47.4%,52.6%,,-10.71,,,,18,4533372,2734884,1442420,192560,70871,28092,64545,3415357,2147661,1019582,138091,54790,19952,35281,809141,1152262,0.473551,0.526449
