,ALAND,AWATER,CD113FP,CDSESSN,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAMELSAD,STATEFP,AREA,PERIMETER,COMPACTNESS
414,123449128,784655,34,113,N,0634,+34.0746549,-118.2282686,C2,G5200,Congressional District 34,06,0.012133765503015592,0.7610407241379638,0.26326
415,321772810,5322336,32,113,N,0632,+34.0894576,-117.9139678,C2,G5200,Congressional District 32,06,0.03195253737449222,1.8124070669436125,0.12224
416,186562829,555918,43,113,N,0643,+33.9031099,-118.3363034,C2,G5200,Congressional District 43,06,0.01823959835997907,0.8707311096431845,0.30231
417,437439320,313475,35,113,N,0635,+34.0454006,-117.5883234,C2,G5200,Congressional District 35,06,0.042740953417497604,1.5832798178172494,0.21426
418,205536035,66884022,44,113,N,0644,+33.8187502,-118.2509834,C2,G5200,Congressional District 44,06,0.02652850545594998,1.1931335863595993,0.23418
419,565793514,2417794,28,113,N,0628,+34.2500576,-118.2914520,C2,G5200,Congressional District 28,06,0.055609627375561285,2.037334213664261,0.16836
420,1812793990,7568290,27,113,N,0627,+34.2650833,-117.9348875,C2,G5200,Congressional District 27,06,0.17821709691743357,3.163747557610001,0.22375
421,143131690,351785,37,113,N,0637,+34.0161234,-118.3687055,C2,G5200,Congressional District 37,06,0.014004444077001403,0.7465121842353358,0.31579
422,149406832,1743134,40,113,N,0640,+33.9698668,-118.1792067,C2,G5200,Congressional District 40,06,0.014744678747480117,0.9264337251846715,0.21588
423,686126096,5114562,05,113,N,1305,+33.7069846,-084.4011185,C2,G5200,Congressional District 5,13,0.06722781529648016,1.5272949466569796,0.36217
424,192014968,3473804,02,113,N,4202,+40.0151623,-075.2221966,C2,G5200,Congressional District 2,42,0.020622478678014235,0.8120473213697055,0.393
425,401915447,2647089,13,113,N,4213,+40.1240017,-075.1595354,C2,G5200,Congressional District 13,42,0.04274461572697861,2.7068641789984853,0.07331
426,2424054853,44755449,42,113,N,0642,+33.6750434,-117.2296974,C2,G5200,Congressional District 42,06,0.24003190050487067,5.227632362919668,0.11037
427,819846906,4267687,41,113,N,0641,+33.9180748,-117.2974203,C2,G5200,Congressional District 41,06,0.08034386107494473,2.360369120343591,0.18122
428,15313160743,201938198,36,113,N,0636,+33.7321303,-115.7373597,C2,G5200,Congressional District 36,06,1.5095988143928345,7.58083630743678,0.33009
429,564972810,6435649,31,113,N,0631,+34.1100101,-117.3533277,C2,G5200,Congressional District 31,06,0.05583144997148519,2.8919326448193328,0.08389
430,161925269,4788471,07,113,N,1707,+41.8633320,-087.7321218,C2,G5200,Congressional District 7,17,0.018078028050525448,1.7640692320877323,0.073
431,135858493,893860,04,113,N,1704,+41.8318687,-087.7100236,C2,G5200,Congressional District 4,17,0.014831046124977314,1.9237045847234875,0.05036
432,272856814,1533505,09,113,N,1709,+42.0526844,-087.8101853,C2,G5200,Congressional District 9,17,0.029841039458009616,1.7234750210301595,0.12624
433,1278223571,92425007,11,113,N,0611,+37.9038693,-122.0009326,C2,G5200,Congressional District 11,06,0.14041263389146466,2.832547103648137,0.21992
434,1251948971,54601431,09,113,N,4709,+35.1667619,-089.9775528,C2,G5200,Congressional District 9,47,0.129270155885004,2.941980891083547,0.18768
435,480868418,35466742,32,113,N,4832,+32.9203834,-096.6536360,C2,G5200,Congressional District 32,48,0.049774421061487474,2.241731109583519,0.12447
436,760127492,2295744,05,113,N,0405,+33.3394082,-111.7120184,C2,G5200,Congressional District 5,04,0.07384066429248626,1.3408594746936362,0.51611
437,531238883,1021257,07,113,N,0407,+33.4278191,-112.1187678,C2,G5200,Congressional District 7,04,0.051602190302495465,1.262484621685795,0.40684
438,426702437,3529539,09,113,N,0409,+33.4060068,-111.9499956,C2,G5200,Congressional District 9,04,0.04170022587199318,1.869100083865462,0.15
439,1619240143,10576374,06,113,N,0406,+33.6655180,-111.8885887,C2,G5200,Congressional District 6,04,0.15843891379997427,2.4996692174937456,0.31864
440,1397551063,4088398,08,113,N,0408,+33.6955808,-112.2995738,C2,G5200,Congressional District 8,04,0.1362961669755428,2.9055905296204423,0.20287
441,1245509639,97796244,03,113,N,4803,+33.1594719,-096.6132709,C2,G5200,Congressional District 3,48,0.12983680215202226,2.1039655484608337,0.36858
442,922800377,33054518,30,113,N,4830,+32.6587671,-096.7994068,C2,G5200,Congressional District 30,48,0.09187584488247369,2.5691661523092204,0.17491
443,1683515582,3359855457,01,113,N,3601,+40.9838845,-072.5495221,C2,G5200,Congressional District 1,36,0.5396174712299826,4.123164459287738,0.39887
